ouid,foul,injury,redCards,yellowCards,dribble,cornerKick,offsideCount,shootTotal,effectiveShootTotal,goalTotal,shootPenaltyKick,goalPenaltyKick,passTry,passSuccess,shortPassTry,shortPassSuccess,longPassTry,longPassSuccess,throughPassTry,throughPassSuccess,tackleTry,tackleSuccess,blockTry,blockSuccess,possession,averageRating,matchResult,hour
1a9544e9ef3cb70f705ee9e0d7449d3d,2.0,0.0,0.0,0.0,70.0,1.0,1.0,10.0,7.0,2.0,0.0,0.0,93.0,88.0,79.0,75.0,1.0,0.0,4.0,4.0,14.0,7.0,10.0,0.0,53.0,4.00556,패,21
2106e16db01537f80e0c71ac6e8b7062,2.0,0.0,0.0,0.0,60.0,1.0,0.0,5.0,2.0,1.0,0.0,0.0,79.0,72.0,61.0,58.0,6.0,3.0,11.0,11.0,14.0,5.0,15.0,0.0,46.0,3.93333,무,21
6776342496099426b69bba5e4e3e20c3,1.0,0.0,0.0,0.0,79.0,0.0,1.0,3.0,2.0,1.0,0.0,0.0,105.0,94.0,73.0,69.0,0.0,0.0,31.0,25.0,7.0,5.0,2.0,0.0,54.0,4.02222,무,21
9c9312b2bfebf2cb09a691de06ee3cc2,0.0,0.0,0.0,0.0,65.0,0.0,2.0,6.0,6.0,3.0,1.0,0.0,89.0,80.0,58.0,54.0,4.0,1.0,21.0,19.0,5.0,3.0,7.0,1.0,43.0,4.01111,무,21
c82f40d53b72872b781d6fdbbeabe655,1.0,0.0,0.0,0.0,80.0,1.0,0.0,10.0,9.0,3.0,0.0,0.0,110.0,99.0,85.0,82.0,6.0,1.0,16.0,15.0,7.0,2.0,10.0,0.0,57.0,4.14444,무,21
1603da16779746da315896a5cab1b7ab,0.0,0.0,0.0,0.0,69.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,98.0,84.0,66.0,63.0,6.0,2.0,24.0,19.0,7.0,4.0,7.0,1.0,47.0,4.08333,무,21
1a9d59d5efdddae1741c5f0753e7a360,1.0,0.0,0.0,0.0,67.0,3.0,1.0,6.0,2.0,0.0,0.0,0.0,114.0,105.0,96.0,92.0,7.0,4.0,7.0,7.0,13.0,6.0,3.0,0.0,53.0,4.05,무,21
0ad92d576d7c2d2fbbe69c9625e97fb7,1.0,0.0,0.0,0.0,58.0,5.0,0.0,9.0,8.0,2.0,0.0,0.0,117.0,104.0,95.0,90.0,7.0,3.0,14.0,11.0,11.0,7.0,3.0,0.0,49.0,4.17222,패,21
883f8ef541e8d5e94fe8367fe1a72dd4,0.0,0.0,0.0,0.0,66.0,6.0,0.0,8.0,4.0,3.0,0.0,0.0,98.0,85.0,62.0,60.0,14.0,7.0,12.0,12.0,8.0,4.0,14.0,1.0,51.0,4.31667,승,21
3f937c0c02280db48f222a3c04c2dc4e,1.0,0.0,0.0,0.0,64.0,0.0,3.0,7.0,6.0,4.0,0.0,0.0,122.0,107.0,87.0,81.0,5.0,2.0,29.0,24.0,10.0,6.0,13.0,0.0,50.0,4.17778,무,21
d0fdb4d6734dcd75ca98f5bb71b982b6,1.0,0.0,0.0,1.0,73.0,2.0,0.0,11.0,8.0,4.0,0.0,0.0,124.0,116.0,69.0,66.0,3.0,3.0,42.0,40.0,13.0,7.0,9.0,0.0,50.0,5.37778,무,21
5ff5a0e98a5c5abf4c5db8ccd0c3cd65,0.0,0.0,0.0,0.0,77.0,1.0,0.0,6.0,5.0,3.0,0.0,0.0,113.0,98.0,78.0,74.0,6.0,3.0,23.0,18.0,3.0,3.0,7.0,2.0,50.0,4.36111,승,21
96b7ed5972acb73dd697490b15a8976d,1.0,0.0,0.0,0.0,68.0,1.0,2.0,9.0,6.0,2.0,0.0,0.0,96.0,82.0,78.0,71.0,3.0,1.0,12.0,8.0,12.0,5.0,8.0,0.0,50.0,3.8888900000000004,패,21
4118f76d823c41fd8fdfabe4405daccf,1.0,2.0,0.0,0.0,72.0,0.0,1.0,4.0,4.0,4.0,1.0,1.0,102.0,97.0,74.0,71.0,1.0,1.0,24.0,22.0,13.0,7.0,8.0,1.0,52.0,4.12222,승,21
d83945a53a9ef14a58d2011115918486,1.0,0.0,0.0,0.0,84.0,1.0,0.0,9.0,5.0,3.0,0.0,0.0,106.0,92.0,80.0,73.0,2.0,2.0,21.0,17.0,21.0,13.0,10.0,0.0,48.0,4.03333,패,21
6fdf7530a51e68258886c60d624dde11,1.0,0.0,0.0,0.0,66.0,2.0,0.0,9.0,7.0,4.0,0.0,0.0,82.0,75.0,60.0,56.0,6.0,4.0,13.0,12.0,13.0,6.0,7.0,0.0,49.0,4.5,승,21
a9e1333f834e8565af8a1f9286e9f493,0.0,0.0,0.0,0.0,62.0,2.0,0.0,11.0,4.0,1.0,1.0,0.0,73.0,66.0,59.0,56.0,6.0,4.0,7.0,5.0,4.0,2.0,8.0,1.0,51.0,3.52778,패,21
