matchId,matchDate,matchType,ouid,nickname,matchResult,possession,averageRating,dribble,cornerKick,offsideCount,shootTotal,effectiveShootTotal,goalTotal,shootPenaltyKick,goalPenaltyKick,passTry,passSuccess,shortPassTry,shortPassSuccess,longPassTry,longPassSuccess,throughPassTry,throughPassSuccess,tackleTry,tackleSuccess,blockTry,blockSuccess,goalTime,x,y,type,result,spId,assist,assistSpId,hitPost,inPenalty
67e12c0131c84343469aa2ea,2025-03-24T09:59:29,50,679e57040a124f6519d283ea52758435,잉글징글랜드,승,53,4.58889,25,0,0,4,4,3,0,0,35,32,26,23,0,0,4,4,2,2,5,1,1329,0.8835173845291138,0.5675222277641296,2,3,832277643,True,832188545,False,True
67e12c0131c84343469aa2ea,2025-03-24T09:59:29,50,679e57040a124f6519d283ea52758435,잉글징글랜드,승,53,4.58889,25,0,0,4,4,3,0,0,35,32,26,23,0,0,4,4,2,2,5,1,1808,0.9449021220207214,0.3770425617694855,6,3,291264240,True,832233419,False,True
67e12bf7e4ceb8989881031a,2025-03-24T09:59:21,50,41f2bae2adde20b1020f96b1dac293ab,radiantz,승,65,4.05556,42,1,0,3,2,1,0,0,60,53,46,42,2,1,12,10,7,5,0,0,1817,0.8858387470245361,0.4139599800109863,3,2,251222481,False,-1,False,True
67e12bf7e4ceb8989881031a,2025-03-24T09:59:21,50,41f2bae2adde20b1020f96b1dac293ab,radiantz,승,65,4.05556,42,1,0,3,2,1,0,0,60,53,46,42,2,1,12,10,7,5,0,0,1394,0.823578953742981,0.6448345184326172,2,3,289158023,True,251010535,False,False
67e12bf7e4ceb8989881031a,2025-03-24T09:59:21,50,41f2bae2adde20b1020f96b1dac293ab,radiantz,승,65,4.05556,42,1,0,3,2,1,0,0,60,53,46,42,2,1,12,10,7,5,0,0,1285,0.8907226920127869,0.3910999596118927,2,1,802190045,True,251001625,False,True
67e12bf67f99212a8781640f,2025-03-24T09:58:31,50,38aa415c763181215c4985ac140608e1,형듀니는이김,승,59,4.05556,20,0,1,3,2,2,0,0,27,22,21,19,2,1,4,2,2,1,3,0,866,0.8570579886436462,0.4319886565208435,2,3,827214267,False,-1,False,True
67e12bf67f99212a8781640f,2025-03-24T09:58:31,50,38aa415c763181215c4985ac140608e1,형듀니는이김,승,59,4.05556,20,0,1,3,2,2,0,0,27,22,21,19,2,1,4,2,2,1,3,0,728,0.7883298993110657,0.4556750357151031,2,2,291224494,True,832246669,False,False
67e12bf67f99212a8781640f,2025-03-24T09:58:31,50,38aa415c763181215c4985ac140608e1,형듀니는이김,승,59,4.05556,20,0,1,3,2,2,0,0,27,22,21,19,2,1,4,2,2,1,3,0,1389,0.9398369193077089,0.5106555223464966,3,3,832202126,True,832246669,False,True
67e12bf67f99212a8781640f,2025-03-24T09:58:31,50,e607bca5a4723a9d5abfdfdc5507759a,ATLS,패,39,3.23333,10,0,0,1,0,0,0,0,16,10,10,9,0,0,5,1,0,0,2,1,1029,0.8225221633911133,0.587955117225647,1,2,268191208,True,826226380,True,False
67e12bf1ede443846797690c,2025-03-24T09:59:33,50,5bfa6c305a1087a5bc17b627d31804b6,피파하는보히,승,58,4.06111,43,1,0,4,3,1,0,0,50,46,43,41,1,1,4,3,8,5,0,0,1553,0.8885850310325623,0.568175196647644,1,1,832227796,True,811233700,False,True
67e12bf1ede443846797690c,2025-03-24T09:59:33,50,5bfa6c305a1087a5bc17b627d31804b6,피파하는보히,승,58,4.06111,43,1,0,4,3,1,0,0,50,46,43,41,1,1,4,3,8,5,0,0,2006,0.8656267523765564,0.5315581560134888,2,1,252013128,True,811233700,False,True
67e12bf1ede443846797690c,2025-03-24T09:59:33,50,5bfa6c305a1087a5bc17b627d31804b6,피파하는보히,승,58,4.06111,43,1,0,4,3,1,0,0,50,46,43,41,1,1,4,3,8,5,0,0,232,0.966035783290863,0.3823056519031525,6,2,270232411,True,283208421,False,True
67e12bf1ede443846797690c,2025-03-24T09:59:33,50,5bfa6c305a1087a5bc17b627d31804b6,피파하는보히,승,58,4.06111,43,1,0,4,3,1,0,0,50,46,43,41,1,1,4,3,8,5,0,0,765,0.9297674298286438,0.541972815990448,3,3,811233700,True,832227796,False,True
67e12be8ed08638507cf738c,2025-03-24T09:56:32,50,78ac00cd74da8a101fbf311decbf3ddb,가성비팀입니다,승,68,4.02778,13,0,0,1,1,1,0,0,17,16,15,14,0,0,2,2,1,1,0,0,670,0.9595539569854736,0.4739558696746826,2,3,821165889,True,289200104,False,True
67e12be8ec8f4609bedd6ca3,2025-03-24T09:57:44,50,d98f7e274fbe792dee07280b6fa4919a,씨병구,패,43,3.76111,11,0,0,2,0,0,0,0,15,14,8,7,0,0,7,7,4,2,3,0,209,0.8087131381034851,0.33342307806015,1,2,237037576,True,289182521,False,False
67e12be8ec8f4609bedd6ca3,2025-03-24T09:57:44,50,d98f7e274fbe792dee07280b6fa4919a,씨병구,패,43,3.76111,11,0,0,2,0,0,0,0,15,14,8,7,0,0,7,7,4,2,3,0,231,0.828010618686676,0.3080763518810272,2,2,820239053,False,-1,False,False
67e12be8ec8f4609bedd6ca3,2025-03-24T09:57:44,50,ac5af01f699235914b7c83d5e7d13de0,Freeer,승,57,4.02222,22,0,0,4,3,2,0,0,35,32,29,29,0,0,4,3,2,2,2,1,487,0.9829975962638856,0.6027208566665649,2,2,251010535,False,-1,False,True
67e12be8ec8f4609bedd6ca3,2025-03-24T09:57:44,50,ac5af01f699235914b7c83d5e7d13de0,Freeer,승,57,4.02222,22,0,0,4,3,2,0,0,35,32,29,29,0,0,4,3,2,2,2,1,417,0.7911224961280823,0.4711570143699646,2,1,251010535,True,268190045,False,False
67e12be8ec8f4609bedd6ca3,2025-03-24T09:57:44,50,ac5af01f699235914b7c83d5e7d13de0,Freeer,승,57,4.02222,22,0,0,4,3,2,0,0,35,32,29,29,0,0,4,3,2,2,2,1,1060,0.9198577404022216,0.4398202896118164,1,3,268190045,True,252176580,False,True
67e12be8ec8f4609bedd6ca3,2025-03-24T09:57:44,50,ac5af01f699235914b7c83d5e7d13de0,Freeer,승,57,4.02222,22,0,0,4,3,2,0,0,35,32,29,29,0,0,4,3,2,2,2,1,496,0.96508377790451,0.5056560039520264,2,3,252176580,False,-1,False,True
67e12be733585b3a32045130,2025-03-24T09:58:02,50,99bc30064268e23c3a1ae2efeaf3b69e,3패광탈,패,54,3.35556,23,0,0,2,2,0,0,0,35,33,32,31,2,1,1,1,3,0,5,0,216,0.8980773687362671,0.5164200067520142,3,1,828208830,False,-1,False,True
67e12be733585b3a32045130,2025-03-24T09:58:02,50,99bc30064268e23c3a1ae2efeaf3b69e,3패광탈,패,54,3.35556,23,0,0,2,2,0,0,0,35,33,32,31,2,1,1,1,3,0,5,0,1193,0.8614264130592346,0.4500357508659363,1,1,832202126,False,-1,False,True
